"date","sp500","volat","jobClm","recession"
2007-01-06,1409.71,12.14,330000,"No"
2007-01-13,1430.73,10.15,296000,"No"
2007-01-20,1430.5,10.4,335000,"No"
2007-01-27,1422.18,11.13,308000,"No"
2007-02-03,1448.39,10.08,310000,"No"
2007-02-10,1438.06,11.1,338000,"No"
2007-02-17,1455.54,10.02,321000,"No"
2007-02-24,1451.19,10.58,322000,"No"
2007-03-03,1387.17,18.61,320000,"No"
2007-03-10,1402.84,14.09,308000,"No"
2007-03-17,1386.95,16.79,309000,"No"
2007-03-24,1436.11,12.95,303000,"No"
2007-03-31,1420.86,14.64,307000,"No"
2007-04-14,1452.85,12.2,327000,"No"
2007-04-21,1484.35,12.07,321000,"No"
2007-04-28,1494.07,12.45,301000,"No"
2007-05-05,1505.62,12.91,3e+05,"No"
2007-05-12,1505.85,12.95,297000,"No"
2007-05-19,1522.75,12.76,310000,"No"
2007-05-26,1515.73,13.34,310000,"No"
2007-06-02,1536.34,12.78,313000,"No"
2007-06-09,1507.67,14.84,313000,"No"
2007-06-16,1532.91,13.94,320000,"No"
2007-06-23,1502.56,15.75,313000,"No"
2007-06-30,1503.35,16.23,317000,"No"
2007-07-07,1530.44,14.72,321000,"No"
2007-07-14,1552.5,15.15,317000,"No"
2007-07-21,1534.1,16.95,310000,"No"
2007-07-28,1458.95,24.17,305000,"No"
2007-08-04,1433.06,25.16,314000,"No"
2007-08-11,1453.64,28.3,316000,"No"
2007-08-18,1445.94,29.99,321000,"No"
2007-08-25,1479.37,20.72,329000,"No"
2007-09-01,1473.99,23.38,314000,"No"
2007-09-08,1453.55,26.23,321000,"No"
2007-09-15,1484.25,24.92,313000,"No"
2007-09-22,1525.75,19,302000,"No"
2007-09-29,1526.75,18,317000,"No"
2007-10-06,1557.59,16.91,316000,"No"
2007-10-13,1561.8,17.73,335000,"No"
2007-10-20,1500.63,22.96,334000,"No"
2007-10-27,1535.28,19.56,328000,"No"
2007-11-03,1509.65,23.01,327000,"No"
2007-11-10,1453.7,28.5,333000,"No"
2007-11-17,1458.74,25.49,332000,"No"
2007-11-24,1440.7,25.96,352000,"No"
2007-12-01,1481.14,22.87,344000,"No"
2007-12-08,1504.66,20.85,332000,"No"
2007-12-15,1467.95,23.27,350000,"No"
2007-12-22,1484.46,18.47,355000,"No"
2007-12-29,1478.49,20.74,360000,"No"
2008-01-05,1411.63,23.94,348000,"Yes"
2008-01-12,1401.02,23.68,320000,"Yes"
2008-01-19,1325.19,27.18,318000,"Yes"
2008-01-26,1330.61,29.08,367000,"Yes"
2008-02-02,1395.42,24.02,352000,"Yes"
2008-02-09,1331.29,28.01,343000,"Yes"
2008-02-16,1349.99,25.02,339000,"Yes"
2008-02-23,1353.11,24.06,354000,"Yes"
2008-03-01,1330.63,26.54,345000,"Yes"
2008-03-08,1293.37,27.49,348000,"Yes"
2008-03-15,1288.14,31.16,368000,"Yes"
2008-03-29,1315.22,25.71,386000,"Yes"
2008-04-05,1370.4,22.45,356000,"Yes"
2008-04-12,1332.83,23.46,365000,"Yes"
2008-04-19,1390.33,20.13,352000,"Yes"
2008-04-26,1397.84,19.59,369000,"Yes"
2008-05-03,1413.9,18.18,370000,"Yes"
2008-05-10,1388.28,19.41,366000,"Yes"
2008-05-17,1425.35,16.47,368000,"Yes"
2008-05-24,1375.93,19.55,371000,"Yes"
2008-05-31,1400.38,17.83,363000,"Yes"
2008-06-07,1360.68,23.56,383000,"Yes"
2008-06-14,1360.03,21.22,380000,"Yes"
2008-06-21,1317.93,22.87,383000,"Yes"
2008-06-28,1278.38,23.44,392000,"Yes"
2008-07-12,1239.49,27.49,385000,"Yes"
2008-07-19,1260.68,24.05,402000,"Yes"
2008-07-26,1257.76,22.91,434000,"Yes"
2008-08-02,1260.31,22.57,447000,"Yes"
2008-08-09,1296.32,20.66,430000,"Yes"
2008-08-16,1298.2,19.58,423000,"Yes"
2008-08-23,1292.2,18.81,422000,"Yes"
2008-08-30,1282.83,20.65,442000,"Yes"
2008-09-06,1242.31,23.06,442000,"Yes"
2008-09-13,1251.7,25.66,450000,"Yes"
2008-09-20,1255.08,32.07,483000,"Yes"
2008-09-27,1213.27,34.74,484000,"Yes"
2008-10-04,1099.23,45.14,480000,"Yes"
2008-10-11,899.22,69.95,461000,"Yes"
2008-10-18,940.55,70.33,479000,"Yes"
2008-10-25,876.77,79.13,480000,"Yes"
2008-11-01,968.75,59.89,489000,"Yes"
2008-11-08,930.99,56.1,511000,"Yes"
2008-11-15,873.29,66.31,541000,"Yes"
2008-11-22,800.03,72.67,536000,"Yes"
2008-11-29,896.24,55.28,530000,"Yes"
2008-12-06,876.07,59.93,567000,"Yes"
2008-12-13,879.73,54.28,565000,"Yes"
2008-12-20,887.88,44.93,586000,"Yes"
2008-12-27,872.8,43.38,532000,"Yes"
2009-01-03,931.8,39.19,504000,"Yes"
2009-01-10,890.35,42.82,546000,"Yes"
2009-01-17,850.12,46.11,586000,"Yes"
2009-01-24,831.95,47.27,585000,"Yes"
2009-01-31,825.88,44.84,638000,"Yes"
2009-02-07,868.6,43.37,635000,"Yes"
2009-02-14,826.84,42.93,635000,"Yes"
2009-02-21,770.05,49.3,655000,"Yes"
2009-02-28,735.09,46.35,653000,"Yes"
2009-03-07,683.38,49.33,659000,"Yes"
2009-03-14,756.55,42.36,649000,"Yes"
2009-03-21,768.54,45.89,662000,"Yes"
2009-03-28,815.94,41.04,667000,"Yes"
2009-04-04,842.5,39.7,657000,"Yes"
2009-04-18,869.6,33.94,646000,"Yes"
2009-04-25,866.23,36.82,618000,"Yes"
2009-05-02,877.52,35.3,601000,"Yes"
2009-05-09,929.23,32.05,626000,"Yes"
2009-05-16,882.88,33.12,622000,"Yes"
2009-05-23,887,32.63,608000,"Yes"
2009-05-30,919.14,28.92,612000,"Yes"
2009-06-06,940.09,29.62,596000,"Yes"
2009-06-13,946.21,28.15,599000,"Yes"
2009-06-20,921.23,27.99,614000,"Yes"
2009-06-27,918.9,25.93,595000,"Yes"
2009-07-11,879.13,29.02,546000,"No"
2009-07-18,940.38,24.34,562000,"No"
2009-07-25,979.26,23.09,584000,"No"
2009-08-01,987.48,25.92,555000,"No"
2009-08-08,1010.48,24.76,552000,"No"
2009-08-15,1004.09,24.27,562000,"No"
2009-08-22,1026.13,25.01,561000,"No"
2009-08-29,1028.93,24.76,562000,"No"
2009-09-05,1016.4,25.26,554000,"No"
2009-09-12,1042.73,24.15,540000,"No"
2009-09-19,1068.3,23.92,532000,"No"
2009-09-26,1044.38,25.61,548000,"No"
2009-10-03,1025.21,28.68,532000,"No"
2009-10-10,1071.49,23.12,512000,"No"
2009-10-17,1087.68,21.43,537000,"No"
2009-10-24,1079.6,22.27,528000,"No"
2009-10-31,1036.19,30.69,522000,"No"
2009-11-07,1069.3,24.19,511000,"No"
2009-11-14,1093.48,23.36,512000,"No"
2009-11-21,1091.38,22.19,485000,"No"
2009-11-28,1091.49,24.74,473000,"No"
2009-12-05,1105.98,21.25,494000,"No"
2009-12-12,1106.41,21.59,5e+05,"No"
2009-12-19,1102.47,21.68,479000,"No"
2010-01-09,1144.98,18.13,467000,"No"
2010-01-16,1136.03,17.91,507000,"No"
2010-01-23,1091.76,27.31,465000,"No"
